,labels,companies,,,,,labels,companies,,,,,labels,companies,,,
47,0,STEEM,스팀,김치코인,SNS플랫폼,55,1,LAMB,람다,김치코인,데이터 저장,45,2,LSK,리스크,,
61,0,GLM,골렘,,컴퓨팅,56,1,MOC,모스코인,김치코인,엔터,15,2,LTC,라이트코인,메이저,
62,0,STORJ,스토리지,,저장성 코인,57,1,CRE,캐리프로토콜,김치코인,"커머스, 결제",14,2,TRX,트론,메이저,
32,0,ELF,엘프,,금융,44,1,TT,썬더토큰,,,12,2,SNT,스테이터스네트워크토큰,메이저,
66,0,ADX,애드엑스,,광고 플랫폼,60,1,STPT,에스티피,,,10,2,LINK,체인링크,메이저,
20,0,ZIL,질리카,,확장성,85,1,PXL,픽셀,김치코인,콘텐츠,9,2,ONT,온톨로지,,
18,0,ONG,온톨로지가스,,,84,1,FCT,피르마체인,김치코인,전자계약,8,2,BSV,비트코인에스브이,메이저,비트코인계열
54,0,ARK,아크,,,83,1,META,메타디움,김치코인,보안,6,2,QTUM,퀀텀,메이저,
36,0,EMC,아인스타이늄,김치코인,,81,1,EDR,엔도르,,,5,2,GAS,가스,,
53,0,POWR,파워렛저,,,80,1,IGNIS,이그니스,,,82,2,STRAX,스트라티스,,
30,0,BAT,베이직어텐션토큰,,,79,1,UPP,센티넬프로토콜,김치코인,,4,2,BCH,비트코인캐시,메이저,비트코인계열
73,0,WAXP,왁스,NFT,,77,1,SOLVE,솔브케어,김치코인,,3,2,NEO,네오,메이저,자산
72,0,LOOM,룸네트워크,,,74,1,MVL,엠블,김치코인,영화,2,2,ETC,이더리움클래식,메이저,
75,0,GRS,그로스톨코인,,,71,1,MBL,무비블록,김치코인,자동차,1,2,VET,비체인,준메이저,
76,0,ARDR,아더,,,70,1,HUM,휴먼스케이프,김치코인,"질병, 제약",7,2,IOST,아이오에스티,,
39,0,ENJ,엔진코인,NFT,게임,69,1,ORBS,오브스,,퍼블릭,16,2,EOS,이오스,메이저,
78,0,LBC,엘비알와이크레딧,,,68,1,TSHP,트웰브쉽스,김치코인,,19,2,IOTA,아이오타,,
40,0,WAVES,웨이브,,,67,1,STMX,스톰엑스,김치코인,쇼핑,22,2,XRP,리플,메이저,금융
52,0,SBD,스팀달러,,,48,1,MFT,메인프레임,,,50,2,KNC,카이버네트워크,,"지불,환전"
42,0,ICX,아이콘,김치코인,,64,1,BORA,보라,김치코인,NFT,43,2,SXP,스와이프,,디지털 지갑
51,0,HBAR,헤데라해시그래프,,,58,1,DMT,디마켓,,,41,2,BTG,비트코인골드,메이저,비트코인계열
87,0,POLY,폴리매쓰,,,65,1,MARO,마로,김치코인,,37,2,XLM,스텔라루멘,메이저,
49,0,CVC,시빅,,,88,1,PUNDIX,펀디엑스,,,35,2,STX,스택스,,
86,0,MTL,메탈,,,21,1,BTT,비트토렌트,,,34,2,OMG,오미세고,메이저,
38,0,TFUEL,쎄타퓨엘,,,13,1,IQ,에브리피디아,,,31,2,REP,어거,,
59,0,ZRX,제로엑스,,,11,1,MANA,디센트럴랜드,NFT,게임,29,2,BTC,비트코인,대장,
,,,,,,33,1,AERGO,아르고,김치코인,기업 솔루션,28,2,XEM,넴,메이저,
,,,,,,46,1,QKC,쿼크체인,,,27,2,ATOM,코스모스,,
,,,,,,,,,,,,26,2,ADA,에이다,메이저,
,,,,,,,,,,,,25,2,XTZ,테조스,,
,,,,,,,,,,,,63,2,KMD,코모도,,
,,,,,,,,,,,,24,2,CRO,크립토닷컴체인,,
,,,,,,,,,,,,23,2,THETA,쎄타토큰,준메이저,
,,,,,,,,,,,,17,2,ETH,이더리움,메이저,
,,,,,,,,,,,,0,2,DOGE,도지코인,준메이저,
